id,nombre_crudo,nombre,tipo,homenaje,estado,nota,fuente
001,14 Provincias,,,,en_consulta,No se pudo establecer a que alude el nombre. Consultar a la Municipalidad antes de proponer nota,
005,Aguila Mora,,,,en_consulta,Posible tilde en Águila. Confirmar grafía oficial y referente antes de proponer el cambio.,
008,Alsina,,,,en_consulta,Hay varios Alsina en la historia argentina. Confirmar a cual homenajea la calle,
009,Anisacate,,,,en_consulta,Anisacate es tambien una localidad de Cordoba. Confirmar si el nombre alude a ella,
