id,nombre_crudo,nombre,tipo,homenaje,estado,nota,fuente
226,Talleres,,,,,,
227,Tanti,,,,,,
228,Thomas Edison,,,,,,
229,Tomillo,,,,,,
230,Tucuman,,,,,,
231,Turin,,,,,,
232,Ugarteche,,,,,,
233,Unasur,,,,,,
234,Union Latinoamerica,,,,,,
235,Valentin Gomez,,,,,,
236,Venecia,,,,,,
237,Venezia,,,,,,
238,Victor Jara,,,,,,
239,Victoria,,,,,,
240,Villa Carlos Paz,,,,,,
241,Villa Dolores,,,,,,
242,Villa Maria,,,,,,
243,Virgen de Famatina,,,,,,
244,Virgen de Guadalupe,,,,,,
245,Virgen de Lujan,,,,,,
246,Virgen de Santa Rita,,,,,,
247,Virgen del Carmen,,,,,,
248,Vladimiro Tentori,,,,,,
249,Washington,,,,,,
250,Yapeyu,,,,,,
251,Zarzamora,,,,,,
