id,nombre_crudo,nombre,tipo,homenaje,estado,nota,fuente
021,Av. Los Sauces,,,,,,
022,Av. Virgen,,,,,,
023,Av. Virgen de la Merced,,,,,,
024,Avenida Ascasubi,,,,,,
025,Avenida Yacanto,,,,,,
026,Balnearia,,,,,,
027,Bartolome Mitre,,,,,,
028,Belgrano,,,,,,
029,Bell Ville,,,,,,
030,Bella Vista,,,,,,
031,Benjamin Franklin,,,,,,
032,Bosque Alto,,,,,,
033,Brasil,,,,,,
034,Buchardo,,,,,,
035,Buenos Aires,,,,,,
036,C. Velez,,,,,,
037,Calchaqui,,,,,,
038,Capilla del Monte,,,,,,
039,Carcaraña,,,,,,
040,Carlos Arcusin,,,,,,
