id,nombre_crudo,nombre,tipo,homenaje,estado,nota,fuente
086,Falucho,,,,,,
087,Famatina,,,,,,
088,Felix Luna,,,,,,
089,Ferrara,,,,,,
090,Florencia,,,,,,
091,Fray Oro,,,,,,
092,French y Berutti,,,,,,
093,Gabriel Garcia Marquez,,,,,,
094,Galileo Galilei,,,,,,
095,General Guido,,,,,,
096,General Pinedo,,,,,,
097,Genova,,,,,,
098,Goya,,,,,,
099,Gral Deheza,,,,,,
100,Gral Jose de San Martin,,,,,,
101,Halcon Peregrino,,,,,,
102,Hermila Galindo,,,,,,
103,Hernando,,,,,,
104,Hierba Buena,,,,,,
105,Hipolito Yrigoyen,,,,,,
106,Hugo Chavez,,,,,,
107,Int. Aldo D. Musumeci,,,,,,
108,Intendente Aldo J. Arce,,,,,,
109,Isaac Newton,,,,,,
110,Islas Malvinas,,,,,,
