id,nombre_crudo,nombre,tipo,homenaje,estado,nota,fuente
136,Laboulaye,,,,,,
137,Ladislao Biro,,,,,,
138,Las Acacias,,,,,,
139,Las Dalias,,,,,,
140,Las Flores,,,,,,
141,Las Margaritas,,,,,,
142,Leonardo Da Vinci,,,,,,
143,Lopez y Planes,,,,,,
144,Los Alamos,,,,,,
145,Los Algarrobos,,,,,,
146,Los Cedros,,,,,,
147,Los Fresnos,,,,,,
148,Los Helechos,,,,,,
149,Los Lirios,,,,,,
150,Los Pinos,,,,,,
151,Los Robles,,,,,,
152,Luis Agote,,,,,,
153,Maipu,,,,,,
154,Manuel Belgrano,,,,,,
155,Mar del Plata,,,,,,
156,Marcelino Martinez,,,,,,
157,Mario Benedetti,,,,,,
158,Martin Garcia,,,,,,
159,Mendoza,,,,,,
160,Mercedes Sosa,,,,,,
161,Messina,,,,,,
162,Miceno Villagra,,,,,,
163,Milan,,,,,,
164,Mina Clavero,,,,,,
165,Miramar,,,,,,
