id,nombre_crudo,nombre,tipo,homenaje,estado,nota,fuente
166,Modena,,,,,,
167,Moreno,,,,,,
168,Napoles,,,,,,
169,O'higgins,,,,,,
170,Organizacion Nacional,,,,,,
171,Ortega y Gasset,,,,,,
172,Pablo Neruda,,,,,,
173,Padre Mujica,,,,,,
174,Padua,,,,,,
175,Palermo,,,,,,
176,Pasaje 4 Estaciones,,,,,,
177,Pasionaria,,,,,,
178,Pechito Colorado,,,,,,
179,Peperina,,,,,,
180,Pergamino,,,,,,
181,Perugia,,,,,,
182,Piquillin,,,,,,
183,Pje. Ferreira Da Silva,,,,,,
184,Pje. Fragata Argentina,,,,,,
185,Plaza,,,,,,
186,Potosi,,,,,,
187,Presidente Nestor Kirchner,,,,,,
188,Puerto Argentino,,,,,,
189,Raul Pateras Pescara,,,,,,
190,Rawson,,,,,,
191,Reconquista,,,,,,
192,Republica de Italia,,,,,,
193,Resistencia,,,,,,
194,Retama,,,,,,
195,Rio Ceballos,,,,,,
