id,nombre_crudo,nombre,tipo,homenaje,estado,nota,fuente
061,Cura Brochero,,,,,,
062,de la Merced,,,,,,
063,Dean Funes,,,,,,
064,Derqui,,,,,,
065,Don Brigido Torres,,,,,,
066,Eduardo Galeano,,,,,,
067,El Cardenal,,,,,,
068,El Carpintero,,,,,,
069,El Cauquen,,,,,,
070,El Ceibo,,,,,,
071,El Chañar,,,,,,
072,El Colibri,,,,,,
073,El Espinillo,,,,,,
074,El Hornero,,,,,,
075,El Jilguero,,,,,,
076,El Mirlo,,,,,,
077,El Molle,,,,,,
078,El Tala,,,,,,
079,El Tordo,,,,,,
080,El Tucan,,,,,,
081,El Zorzal,,,,,,
082,Entre Rios,,,,,,
083,Esteban Echeberria,,,,,,
084,Eva Peron,,,,,,
085,Ex Combatientes,,,,,,
