id,nombre_crudo,nombre,tipo,homenaje,estado,nota,fuente
111,Jesus Maria,,,,,,
112,Johannes Gutenberg,,,,,,
113,Jose G. Artigas,,,,,,
114,Jose Hernandez,,,,,,
115,Jose M. Fallotico,,,,,,
116,Josefina Haydee Avila,,,,,,
117,Juan B. Alberdi,,,,,,
118,Juan C. Velez,,,,,,
119,Juan M. Gutierrez,,,,,,
120,Juan Manuel de Rosas,,,,,,
121,Juan Pablo II,,,,,,
122,Juan Vucetich,,,,,,
123,Juana Azurduy,,,,,,
124,La Brasita,,,,,,
125,La Calera,,,,,,
126,La Carlota,,,,,,
127,La Chuña,,,,,,
128,La Falda,,,,,,
129,La Golondrina,,,,,,
130,La Mesilla,,,,,,
131,La Monjita,,,,,,
132,La Perdiz,,,,,,
133,La Rioja,,,,,,
134,La Tacuarita,,,,,,
135,La Tijereta,,,,,,
