id,nombre_crudo,nombre,tipo,homenaje,estado,nota,fuente
196,Rio Cuarto,,,,,,
197,Rio Tercero,,,,,,
198,Rivadavia,,,,,,
199,Roma,,,,,,
200,Romerillo,,,,,,
201,Roque Saenz Peña,,,,,,
202,Rosa Mosqueta,,,,,,
203,Rosario,,,,,,
204,Ruta Pcial S-228,,,,,,
205,Ruta Pcial S-273,,,,,,
206,Saint Alfio,,,,,,
207,Salvador Allende,,,,,,
208,Samuel Morse,,,,,,
209,San Expedito,,,,,,
210,San Francisco,,,,,,
211,San Ignacio,,,,,,
212,San Juan,,,,,,
213,San Lorenzo,,,,,,
214,San Nicolas,,,,,,
215,San Pedro,,,,,,
216,San Roque,,,,,,
217,Santa Clara,,,,,,
218,Santa Fe,,,,,,
219,Santa Rosa,,,,,,
220,Sargento Cabral,,,,,,
221,Sarmiento,,,,,,
222,Simon Bolivar,,,,,,
223,Siracussa,,,,,,
224,Sta Rosa de Lima,,,,,,
225,Suipacha,,,,,,
